ticker,quarter,fiscal_year,event_date,transcript_id,total_words,positive_count,negative_count,uncertainty_count,positive_ratio,negative_ratio,uncertainty_ratio,net_sentiment,sentiment_polarity
TD,-1,2013,2013-04-03 17:11:09,TD_48396,1251,32,23,11,0.025579536370903277,0.01838529176658673,0.008792965627498001,0.007194244604316547,0.16363636363636364
TD,0,2013,2013-04-04 18:51:07,TD_48420,7752,291,171,78,0.03753869969040248,0.022058823529411766,0.010061919504643963,0.015479876160990714,0.2597402597402597
TD,2,2013,2013-05-24 01:41:10,TD_52483,4725,151,106,85,0.031957671957671956,0.022433862433862434,0.01798941798941799,0.009523809523809521,0.17509727626459143
TD,3,2013,2013-07-31 01:41:09,TD_54533,2585,42,174,59,0.016247582205029015,0.06731141199226305,0.022823984526112187,-0.05106382978723403,-0.6111111111111112
TD,3,2013,2013-08-29 22:51:09,TD_56930,3540,147,102,58,0.04152542372881356,0.0288135593220339,0.01638418079096045,0.012711864406779658,0.18072289156626506
TD,-1,2013,2013-09-04 17:08:06,TD_57004,1527,57,40,23,0.03732809430255403,0.02619515389652914,0.015062213490504257,0.011132940406024888,0.17525773195876287
TD,-1,2013,2013-09-18 20:24:05,TD_57434,2059,80,51,27,0.03885381253035454,0.02476930548810102,0.013113161728994658,0.01408450704225352,0.22137404580152673
TD,4,2013,2013-12-05 23:41:07,TD_61550,4103,167,120,42,0.04070192542042408,0.029246892517669997,0.0102364123811845,0.01145503290275408,0.16376306620209058
TD,1,2014,2014-02-28 01:41:07,TD_64731,4328,185,132,50,0.0427449168207024,0.030499075785582256,0.01155268022181146,0.012245841035120147,0.167192429022082
TD,2,2014,2014-05-23 01:12:05,TD_68699,3609,156,99,54,0.043225270157938485,0.02743142144638404,0.014962593516209476,0.015793848711554447,0.2235294117647059
TD,3,2014,2014-08-29 02:14:03,TD_72949,4341,186,128,70,0.04284727021423635,0.0294862934807648,0.01612531674729325,0.013360976733471551,0.18471337579617833
TD,4,2014,2014-12-05 02:09:05,TD_77267,3175,108,103,45,0.03401574803149606,0.03244094488188976,0.014173228346456693,0.0015748031496062992,0.023696682464454975
TD,1,2015,2015-02-27 02:36:11,TD_80345,3329,154,81,34,0.04626013817963352,0.024331631120456592,0.01021327726043857,0.02192850705917693,0.31063829787234043
TD,2,2015,2015-05-29 01:45:07,TD_85658,4023,154,110,63,0.038279890628883914,0.02734277902063137,0.015659955257270694,0.010937111608252545,0.16666666666666666
TD,3,2015,2015-08-28 01:46:10,TD_89950,4144,152,145,62,0.03667953667953668,0.03499034749034749,0.014961389961389961,0.0016891891891891928,0.02356902356902357
TD,4,2015,2015-12-04 02:43:08,TD_94339,4543,191,125,56,0.042042703059652214,0.0275148580233326,0.012326656394453005,0.014527845036319615,0.2088607594936709
