ticker,market_cap,stock_price,date,log_market_cap
FDX,16217181986.127735,68.72984383322976,2010-08-01,23.509337133556166
FDX,16509098645.476896,69.96701231456939,2010-09-01,23.52717749892881
FDX,17401570632.899933,73.74938710530598,2010-10-01,23.57982630535176
FDX,17337083365.018444,73.47608439127605,2010-11-01,23.57611359144171
FDX,18456484970.951622,78.22020686756481,2010-12-01,23.638681634615647
FDX,18508424435.397064,78.44033088684083,2011-01-01,23.641491840265342
FDX,18354482178.405216,77.7879100598787,2011-02-01,23.633139642023828
FDX,17726332853.313656,75.12575796376105,2011-03-01,23.59831710277523
FDX,18529012391.861652,78.52758445739747,2011-04-01,23.642603578028464
FDX,18512727759.903706,78.4585687546503,2011-05-01,23.641724319497932
FDX,17683555366.035793,74.9444632096724,2011-06-01,23.59590096930296
FDX,18417821135.16728,78.0563461303711,2011-07-01,23.636584572783907
FDX,15610071034.580763,66.1568542148756,2011-08-01,23.471182122045125
FDX,14477112523.088184,61.35527638026646,2011-09-01,23.395834792629948
FDX,15050684444.397839,63.78612463814871,2011-10-01,23.43468930514028
FDX,15950289842.222591,67.59873144967216,2011-11-01,23.492742837938337
FDX,16454900448.146957,69.73731558663505,2011-12-01,23.523889169377924
FDX,17826093131.07215,75.54855079650879,2012-01-01,23.603929127092773
FDX,18527456661.351734,78.52099113464355,2012-02-01,23.642519612634533
FDX,18340446953.046432,77.72842754017223,2012-03-01,23.632374673872892
FDX,17733393681.10185,75.15568237304687,2012-04-01,23.59871534768976
FDX,17562883312.962097,74.43304443359375,2012-05-01,23.589053609451287
FDX,17508177888.6109,74.20119803292411,2012-06-01,23.585933916642162
FDX,18076488347.543716,76.60974775041852,2012-07-01,23.617877944480572
FDX,17694528141.392334,74.990966796875,2012-08-01,23.59652128417706
FDX,17341366192.316162,73.49423539011102,2012-09-01,23.576360593679365
FDX,17861323536.65234,75.69786035446893,2012-10-01,23.605903515844574
FDX,17880208034.987316,75.77789451962425,2012-11-01,23.606960241690498
FDX,18142967910.926025,76.89149398803711,2012-12-01,23.621548879657684
FDX,19748550779.009403,83.69609542120071,2013-01-01,23.706345947323218
FDX,21075116384.212288,89.31819714997944,2013-02-01,23.771358863201634
FDX,20809881997.891354,88.1941104888916,2013-03-01,23.758693806883755
FDX,19003444072.867123,80.53826765580611,2013-04-01,23.66788606667898
FDX,19666492907.446712,83.34832694313742,2013-05-01,23.702182156930416
FDX,19660008400.373363,83.32084503173829,2013-06-01,23.70185237894781
FDX,20743477637.16693,87.91268296675248,2013-07-01,23.755497703471914
FDX,21848379826.674046,92.59535564075817,2013-08-01,23.80739260592981
FDX,22405665997.721367,94.95718345642089,2013-09-01,23.832579710148725
FDX,24598711682.92719,104.25150398586108,2013-10-01,23.925959907900623
FDX,27241773010.819057,115.45303039550781,2013-11-01,24.02801740461246
FDX,28147912730.52757,119.29333023797898,2013-12-01,24.060739040666753
FDX,27906052279.476475,118.26830437069847,2014-01-01,24.052109429828146
FDX,26593811850.345016,112.70691399825246,2014-02-01,24.00394438846476
FDX,27336556947.82305,115.85473305838448,2014-03-01,24.031490725703996
FDX,27027371003.531868,114.54437582833427,2014-04-01,24.020115930334015
FDX,28016181149.732025,118.73504021054222,2014-05-01,24.056048078407468
FDX,29275888758.045765,124.07379186721076,2014-06-01,24.10003010491201
FDX,30494239950.530106,129.2372713955966,2014-07-01,24.14080364864362
FDX,29942480731.606968,126.89886728922527,2014-08-01,24.12254406927256
FDX,31397192312.588726,133.0640629359654,2014-09-01,24.169984309066162
FDX,32153521125.14124,136.26945097550103,2014-10-01,24.1937878034103
FDX,34729687215.148285,147.18746948242188,2014-11-01,24.270860697475495
FDX,35667875914.47618,151.16359571977094,2014-12-01,24.297516286309666
FDX,35113371187.36934,148.8135559082031,2015-01-01,24.28184784038601
FDX,35440543820.61708,150.20014230828536,2015-02-01,24.2911223073911
FDX,34699014798.869415,147.05747708407316,2015-03-01,24.269977131532748
FDX,34363988619.86028,145.63760666620163,2015-04-01,24.260275010557585
FDX,35181565181.51245,149.10256805419922,2015-05-01,24.283788065928807
FDX,35983255589.555695,152.50020252574575,2015-06-01,24.30631954468715
FDX,34264081729.686195,145.21419247713956,2015-07-01,24.257363462549836
FDX,32686799483.644497,138.52953156970796,2015-08-01,24.210237147831226
FDX,29927596443.128338,126.83578636532738,2015-09-01,24.1220468496434
FDX,31156636950.031433,132.04456814852628,2015-10-01,24.162293123691384
FDX,32695107102.740887,138.5647399902344,2015-11-01,24.21049127376835
FDX,30406538183.766396,128.86558359319514,2015-12-01,24.137923494068378
FDX,26718352247.48953,113.23472715678967,2016-01-01,24.00861651632897
FDX,26810762301.531162,113.62636909484863,2016-02-01,24.01206922226753
FDX,30934858533.76154,131.10465171120384,2016-03-01,24.155149492903277
FDX,33622513067.540947,142.49516805013022,2016-04-01,24.238461711316553
FDX,32987091938.912956,139.8021974109468,2016-05-01,24.219382168526185
FDX,32467021597.024647,137.5980935530229,2016-06-01,24.203490691013585
FDX,32351866543.1661,137.11005630493165,2016-07-01,24.199937554626548
FDX,33651439159.614273,142.61775937287703,2016-08-01,24.239321660610397
FDX,34197280405.583984,144.93108258928572,2016-09-01,24.255411957548503
FDX,35297646206.988464,149.5945296514602,2016-10-01,24.28708211897376
FDX,37588445109.85236,159.30313691638764,2016-11-01,24.349962529204404
FDX,39769383629.03002,168.54614621117003,2016-12-01,24.406363197655917
FDX,38760524479.720924,164.27051239013673,2017-01-01,24.380668155345976
FDX,39154777410.31242,165.94139099121094,2017-02-01,24.39078828029884
FDX,39528285634.21584,167.52435170049253,2017-03-01,24.400282344587406
FDX,39026671011.80359,165.39846480520148,2017-04-01,24.38751112143962
FDX,39336172164.1211,166.71015791459516,2017-05-01,24.39541034380367
FDX,43094397761.03885,182.63784859397194,2017-06-01,24.48665884326519
FDX,44143156542.61603,187.08258056640625,2017-07-01,24.51070374728465
FDX,42852352616.79203,181.61203998068103,2017-08-01,24.48102638402546
FDX,44709294652.028175,189.4819236755371,2017-09-01,24.523447251000494
FDX,46206517489.43721,195.82728576660156,2017-10-01,24.556386696284438
FDX,45451003141.30625,192.62534949893043,2017-11-01,24.539900728642202
FDX,50150115932.530945,212.54060287475585,2017-12-01,24.638286663067156
FDX,55421085417.074265,234.87943522135416,2018-01-01,24.73822596148491
FDX,50970560202.62272,216.01771786338404,2018-02-01,24.654514052068308
FDX,50372408761.8045,213.48269943963913,2018-03-01,24.642709416918606
FDX,50636121893.649765,214.600338890439,2018-04-01,24.647931029970835
FDX,51369656993.86789,217.70912517200816,2018-05-01,24.662313504235062
FDX,51997917662.376236,220.37174915132067,2018-06-01,24.674469509771715
FDX,48787311033.20255,206.7649158296131,2018-07-01,24.61073609618308
FDX,50967594004.75501,216.00514685589334,2018-08-01,24.654455856039714
FDX,51266535378.6972,217.27208669562089,2018-09-01,24.660304044462897
FDX,46597174392.85637,197.48292408818784,2018-10-01,24.564805740893185
FDX,46954634398.22857,198.99787103562127,2018-11-01,24.572447746956694
FDX,37865896021.05885,160.47899828459086,2018-12-01,24.35731670280171
FDX,35770137306.862366,151.59698849632628,2019-01-01,24.300379228813895
FDX,37979443371.24704,160.9602219431024,2019-02-01,24.360310886384475
FDX,37228224943.57815,157.7764921642485,2019-03-01,24.340333045574017
FDX,40162918932.3973,170.21398344494048,2019-04-01,24.416209992268247
FDX,35986848783.37403,152.51543079723012,2019-05-01,24.30641939708705
FDX,33938177004.685017,143.83297958374024,2019-06-01,24.247806383014264
FDX,35185971933.588646,149.12124425714666,2019-07-01,24.283913315504464
FDX,33198037453.5982,140.6962030584162,2019-08-01,24.225756598278192
FDX,33506466648.715008,142.00335311889648,2019-09-01,24.23500429143871
FDX,31441467248.404324,133.2517040086829,2019-10-01,24.171393471624736
FDX,33686467837.059975,142.7662139892578,2019-11-01,24.240362045801074
FDX,32871047963.211937,139.31039283389137,2019-12-01,24.215858106171268
FDX,32828951635.118443,139.1319848923456,2020-01-01,24.214576634813227
FDX,32526856361.206272,137.8516785471063,2020-02-01,24.205331934618844
FDX,24869549004.96543,105.39933638139205,2020-03-01,23.936909960498603
FDX,25917264334.51668,109.83964611235119,2020-04-01,23.978175160210647
FDX,25186003406.018017,106.74049797058106,2020-05-01,23.949554256764632
FDX,29231337716.756935,123.88498063520952,2020-06-01,24.098507180221034
FDX,34897398669.25099,147.89824537797406,2020-07-01,24.275678126679114
FDX,43137307443.21198,182.8197036016555,2020-08-01,24.487654061569483
FDX,51084558242.80857,216.5008515857515,2020-09-01,24.656748101459183
FDX,58395874693.891304,247.48685385964134,2020-10-01,24.790511085482322
FDX,59666789671.32528,252.87310333251952,2020-11-01,24.812041415647524
FDX,60641754699.56452,257.0050908868963,2020-12-01,24.828249514200344
FDX,53743861928.22121,227.77121453536185,2021-01-01,24.707495300748988
FDX,54729177941.08424,231.94707047311883,2021-02-01,24.725662821727862
FDX,57699949496.33931,244.53746165399966,2021-03-01,24.77852213518
FDX,61494767499.87591,260.6202341715495,2021-04-01,24.842217926836433
FDX,66614746215.650856,282.3191543579102,2021-05-01,24.92219180463356
FDX,64313570334.93831,272.5665685480291,2021-06-01,24.88703649312232
FDX,63599264155.21982,269.5392761230469,2021-07-01,24.875867737339075
FDX,59010714244.67588,250.09259796142578,2021-08-01,24.80098486173271
FDX,53807238194.63636,228.03980872744606,2021-09-01,24.70867383399836
FDX,49540330136.42313,209.9562770298549,2021-10-01,24.62605292502303
FDX,53126245671.32915,225.15370250883558,2021-11-01,24.695936911846996
FDX,53722649393.73274,227.6813139481978,2021-12-01,24.707100525958165
FDX,55122629385.93722,233.61455230712892,2022-01-01,24.732826165451968
FDX,50734072641.198616,215.01546277497945,2022-02-01,24.649863566028067
FDX,46673089426.27807,197.8046586778429,2022-03-01,24.56643359198049
