TICKER	EVENT_DATE	QUARTER	FISCAL_YEAR
BA	2015-10-21	Q3	2015
BA	2016-01-27	Q4	2015
BA	2016-03-16	Q-1	2016
BA	2016-04-27	Q1	2016
BA	2016-06-03	Q2	2016
BA	2016-06-09	Q-1	2016
BA	2016-07-27	Q2	2016
BA	2016-09-14	Q-1	2016
BA	2016-10-26	Q3	2016
BA	2017-01-26	Q4	2016
BA	2017-04-26	Q1	2017
BA	2017-06-02	Q-1	2017
BA	2017-07-26	Q2	2017
BA	2017-09-13	Q-1	2017
BA	2017-10-25	Q3	2017
BA	2018-01-31	Q4	2017
BA	2018-04-25	Q1	2018
BA	2018-05-01	Q-1	2018
BA	2018-05-31	Q0	2018
BA	2018-07-25	Q2	2018
BA	2018-09-12	Q-1	2018
BA	2018-10-24	Q3	2018
BA	2019-01-30	Q4	2018
BA	2019-02-20	Q-1	2019
BA	2019-04-24	Q1	2019
BA	2019-07-24	Q2	2019
BA	2019-10-23	Q3	2019
BA	2020-01-29	Q4	2019
BA	2020-04-29	Q1	2020
BA	2020-07-29	Q2	2020
BA	2020-10-28	Q3	2020
BA	2021-01-27	Q4	2020
BAC	2007-07-19	Q2	2007
BAC	2007-10-18	Q3	2007
BAC	2008-01-11	Q-1	2008
BAC	2008-01-22	Q4	2007
BAC	2008-04-21	Q1	2008
BAC	2008-07-21	Q2	2008
BAC	2008-09-15	Q-1	2008
BAC	2008-10-07	Q3	2008
BAC	2009-01-19	Q4	2008
BAC	2009-04-20	Q1	2009
BAC	2009-07-17	Q2	2009
BAC	2009-10-16	Q3	2009
BAC	2010-01-20	Q4	2009
BAC	2010-04-16	Q1	2010
BAC	2011-01-21	Q4	2010
BAC	2011-04-15	Q1	2011
BAC	2011-07-19	Q2	2011
BAC	2011-08-11	Q-1	2011
BAC	2011-10-18	Q3	2011
BAC	2012-01-19	Q4	2011
BAC	2012-04-19	Q1	2012
BAC	2012-07-18	Q2	2012
BAC	2012-10-17	Q3	2012
BAC	2013-01-17	Q4	2012
BAC	2013-04-17	Q1	2013
BAC	2013-05-09	Q-1	2013
BAC	2013-05-30	Q0	2013
BAC	2013-07-17	Q2	2013
BAC	2013-10-16	Q3	2013
BAC	2013-12-10	Q-1	2013
BAC	2014-01-15	Q4	2013
BAC	2014-02-16	Q-1	2014
BAC	2014-04-16	Q1	2014
BAC	2014-05-29	Q-1	2014
BAC	2014-07-17	Q2	2014
BAC	2014-09-10	Q-1	2014
BAC	2014-09-16	Q-1	2014
BAC	2014-10-15	Q3	2014
BAC	2014-11-12	Q-1	2014
BAC	2014-12-09	Q-1	2014
BAC	2015-01-15	Q4	2014
BAC	2015-04-15	Q1	2015
BAC	2015-07-15	Q2	2015
BAC	2015-09-18	Q-1	2015
BAC	2015-09-22	Q-1	2015
BAC	2015-10-15	Q3	2015
BAC	2015-11-17	Q4	2015
BAC	2016-01-19	Q4	2015
BAC	2016-04-14	Q1	2016
BAC	2016-05-31	Q-1	2016
BAC	2016-06-02	Q0	2016
BAC	2016-07-19	Q2	2016
BAC	2016-09-12	Q-1	2016
BAC	2016-10-18	Q3	2016
BAC	2017-01-13	Q4	2016
BAC	2017-04-18	Q1	2017
BAC	2017-06-14	Q-1	2017
BAC	2017-07-18	Q2	2017
BAC	2017-10-13	Q3	2017
BAC	2017-12-06	Q-1	2017
BAC	2018-01-17	Q4	2017
BAC	2018-04-16	Q1	2018
BAC	2018-06-12	Q-1	2018
BAC	2018-07-16	Q2	2018
BAC	2018-10-15	Q3	2018
BAC	2018-12-04	Q-1	2018
BAC	2019-01-16	Q4	2018
BAC	2019-04-16	Q1	2019
BAC	2019-05-28	Q-1	2019
BAC	2019-05-30	Q-1	2019
BAC	2019-06-12	Q-1	2019
BAC	2019-07-17	Q2	2019
BAC	2019-10-16	Q3	2019
BAC	2020-01-15	Q4	2019
BAC	2020-04-15	Q1	2020
BAC	2020-07-16	Q2	2020
BAC	2020-10-14	Q3	2020
BKNG	2006-02-17	Q4	2005
BKNG	2006-05-04	Q1	2006
BKNG	2006-08-07	Q2	2006
BKNG	2006-11-09	Q3	2006
BKNG	2007-02-13	Q4	2006
BKNG	2007-08-08	Q2	2007
BKNG	2007-11-13	Q3	2007
BKNG	2008-02-15	Q4	2007
BKNG	2008-05-09	Q1	2008
BKNG	2008-08-06	Q2	2008
BKNG	2008-11-07	Q3	2008
BKNG	2009-02-19	Q4	2008
BKNG	2009-05-11	Q1	2009
BKNG	2009-08-10	Q2	2009
BKNG	2009-11-10	Q3	2009
BKNG	2010-02-18	Q4	2009
BKNG	2010-11-09	Q3	2010
BKNG	2011-02-24	Q4	2010
BKNG	2011-05-06	Q1	2011
BKNG	2011-08-05	Q2	2011
BKNG	2011-11-08	Q3	2011
BKNG	2012-02-28	Q4	2011
BKNG	2012-05-10	Q1	2012
BKNG	2012-08-08	Q2	2012
BKNG	2012-11-02	Q3	2012
BKNG	2013-02-26	Q4	2012
BKNG	2013-05-09	Q1	2013
BKNG	2013-08-08	Q2	2013
BKNG	2013-11-08	Q3	2013
BKNG	2014-02-21	Q4	2013
BKNG	2014-05-08	Q1	2014
BKNG	2014-08-11	Q2	2014
BKNG	2014-11-04	Q3	2014
BKNG	2015-02-20	Q4	2014
BKNG	2015-05-07	Q1	2015
BKNG	2015-08-05	Q2	2015
BKNG	2015-11-09	Q3	2015
BKNG	2016-02-17	Q4	2015
BKNG	2016-05-04	Q1	2016
BKNG	2016-08-05	Q2	2016
BKNG	2016-11-08	Q3	2016
BKNG	2017-02-28	Q4	2016
BKNG	2017-05-10	Q1	2017
BKNG	2017-08-09	Q2	2017
BKNG	2017-11-07	Q3	2017
BKNG	2018-02-28	Q4	2017
